
2013-12-11 03:14:38,106 INFO     RMDIR: tk103pid_16452
2013-12-11 03:36:48,942 INFO     [088011610051] line[0]: ((088011610051BR00131211A2834.7123N07715.3079E000.0033643180.9900000000L00A9C2F0))
2013-12-11 03:36:54,882 DEBUG    [088011610051] recv((088011610051BR00131210A2836.0460N07714.1343E000.0142044285.1400000000L00A9AB3E))
2013-12-11 03:36:54,883 INFO     [088011610051] line[0]: ((088011610051BR00131210A2836.0460N07714.1343E000.0142044285.1400000000L00A9AB3E))
2013-12-11 03:37:00,623 DEBUG    [088011610051] recv((088011610051BR00131211A2834.7123N07715.3079E000.0033655180.9900000000L00A9C2F0))
2013-12-11 03:37:00,624 INFO     [088011610051] line[0]: ((088011610051BR00131211A2834.7123N07715.3079E000.0033655180.9900000000L00A9C2F0))
2013-12-11 03:37:05,024 DEBUG    [088011610051] recv((088011610051BR00131210A2836.0346N07714.1595E000.0142124154.8400000000L00A9AB3E))
2013-12-11 03:37:05,025 INFO     [088011610051] line[0]: ((088011610051BR00131210A2836.0346N07714.1595E000.0142124154.8400000000L00A9AB3E))
2013-12-11 03:37:09,782 DEBUG    [088011610051] recv((088011610051BR00131211A2834.7123N07715.3079E000.0033705180.9900000000L00A9C2F0))
2013-12-11 03:37:09,783 INFO     [088011610051] line[0]: ((088011610051BR00131211A2834.7123N07715.3079E000.0033705180.9900000000L00A9C2F0))
2013-12-11 03:37:14,582 DEBUG    [088011610051] recv((088011610051BR00131210A2836.0346N07714.1595E000.0142134154.8400000000L00A9AB3E))
2013-12-11 03:37:14,583 INFO     [088011610051] line[0]: ((088011610051BR00131210A2836.0346N07714.1595E000.0142134154.8400000000L00A9AB3E))
2013-12-11 03:37:18,842 DEBUG    [088011610051] recv((088011610051BR00131211A2834.7123N07715.3079E000.0033714180.9900000000L00A9C2F0))
2013-12-11 03:37:18,842 INFO     [088011610051] line[0]: ((088011610051BR00131211A2834.7123N07715.3079E000.0033714180.9900000000L00A9C2F0))
2013-12-11 03:37:24,666 DEBUG    [088011610051] recv((088011610051BR00131210A2836.0346N07714.1595E000.0142114154.8400000000L00A9AB3E))
2013-12-11 03:37:24,667 INFO     [088011610051] line[0]: ((088011610051BR00131210A2836.0346N07714.1595E000.0142114154.8400000000L00A9AB3E))
2013-12-11 03:37:26,028 INFO     [088011610051] handle finish
2013-12-11 03:37:26,029 INFO     [088011610051] bytes read=1535 bytes sent=47 points=0
2013-12-11 04:01:30,919 INFO     RMDIR: tk103pid_16706
2013-12-11 04:01:30,920 INFO     Time delta: 0:01:26
2013-12-11 04:02:09,808 INFO     Server loop running in process:16756
2013-12-11 04:02:13,963 DEBUG    New request
2013-12-11 04:02:13,964 INFO     handle start, pid: 16763
2013-12-11 04:02:13,965 DEBUG    [PID: 16763] created tk103pid_16763
2013-12-11 04:02:14,661 DEBUG    [PID: 16763] recv((088011610051BP05000088011610051131211A2834.7123N07715.3079E000.0040201180.9900000000L00A9C2F0))
2013-12-11 04:02:14,662 INFO     [PID: 16763] line[0]: ((088011610051BP05000088011610051131211A2834.7123N07715.3079E000.0040201180.9900000000L00A9C2F0))
2013-12-11 04:02:14,662 INFO     [088011610051] Init: imei 088011610051
2013-12-11 04:02:14,663 INFO     [088011610051] Sending the login ACK to 088011610051
2013-12-11 04:02:14,663 DEBUG    [088011610051] send: (088011610051AP05)
2013-12-11 04:02:14,664 DEBUG    [088011610051] Found startup entry.
2013-12-11 04:02:14,664 DEBUG    [088011610051] send: **,imei:088011610051,C,300s
2013-12-11 04:02:18,860 DEBUG    [088011610051] recv((088011610051BR00131211A2834.7123N07715.3079E000.0040212180.9900000000L00A9C2F0))
2013-12-11 04:02:18,861 INFO     [088011610051] line[0]: ((088011610051BR00131211A2834.7123N07715.3079E000.0040212180.9900000000L00A9C2F0))
2013-12-11 04:02:21,738 INFO     [088011610051] handle finish
2013-12-11 04:02:21,740 INFO     [088011610051] bytes read=175 bytes sent=47 points=0
2013-12-11 04:12:22,046 INFO     RMDIR: tk103pid_16763
2013-12-11 04:12:22,047 INFO     Time delta: 0:00:04
2013-12-11 04:12:22,048 INFO     Server loop running in process:16798
2013-12-11 04:13:06,063 DEBUG    New request
2013-12-11 04:13:06,063 INFO     handle start, pid: 16798
2013-12-11 04:13:06,064 DEBUG    [PID: 16798] created tk103pid_16798
2013-12-11 04:13:06,643 DEBUG    [PID: 16798] recv((088011610051BP05000088011610051131211A2834.7123N07715.3079E000.0041255180.9900000000L00A9C2F0))
2013-12-11 04:13:06,643 INFO     [PID: 16798] line[0]: ((088011610051BP05000088011610051131211A2834.7123N07715.3079E000.0041255180.9900000000L00A9C2F0))
2013-12-11 04:13:06,643 INFO     [088011610051] Init: imei 088011610051
2013-12-11 04:13:06,643 INFO     [088011610051] Sending the login ACK to 088011610051
2013-12-11 04:13:06,644 DEBUG    [088011610051] send: (088011610051AP05)
2013-12-11 04:13:06,644 DEBUG    [088011610051] Found startup entry.
2013-12-11 04:13:06,644 DEBUG    [088011610051] send: **,imei:088011610051,C,300s
2013-12-11 04:13:10,886 DEBUG    [088011610051] recv((088011610051BR00131211A2834.7123N07715.3079E000.0041304180.9900000000L00A9C2F0))
2013-12-11 04:13:10,886 INFO     [088011610051] line[0]: ((088011610051BR00131211A2834.7123N07715.3079E000.0041304180.9900000000L00A9C2F0))
2013-12-11 04:23:20,161 INFO     RMDIR: tk103pid_16798
2013-12-11 04:23:20,162 INFO     Time delta: 0:00:04
2013-12-11 04:23:20,162 INFO     Server loop running in process:16873
2013-12-11 04:23:40,741 INFO     Server loop running in process:16880
2013-12-11 04:23:40,742 INFO     No packets in waiting queue
2013-12-11 04:23:45,742 INFO     No packets in waiting queue
2013-12-11 04:23:50,743 INFO     No packets in waiting queue
2013-12-11 04:23:51,604 DEBUG    New request
2013-12-11 04:23:51,605 INFO     handle start, pid: 16880
2013-12-11 04:23:51,605 DEBUG    [PID: 16880] created tk103pid_16880
2013-12-11 04:23:52,484 DEBUG    [PID: 16880] recv((088011610051BP05000088011610051131211A2834.7123N07715.3079E000.0042337180.9900000000L00A9C2F0))
2013-12-11 04:23:52,485 INFO     [PID: 16880] line[0]: ((088011610051BP05000088011610051131211A2834.7123N07715.3079E000.0042337180.9900000000L00A9C2F0))
2013-12-11 04:23:52,485 INFO     [088011610051] Init: imei 088011610051
2013-12-11 04:23:52,485 INFO     [088011610051] Sending the login ACK to 088011610051
2013-12-11 04:23:52,485 DEBUG    [088011610051] send: (088011610051AP05)
2013-12-11 04:23:55,743 INFO     1 Packets in waiting queue
2013-12-11 04:23:56,704 DEBUG    [088011610051] recv((088011610051BR00131211A2834.7123N07715.3079E000.0042347180.9900000000L00A9C2F0))
2013-12-11 04:23:56,705 INFO     [088011610051] line[0]: ((088011610051BR00131211A2834.7123N07715.3079E000.0042347180.9900000000L00A9C2F0))
2013-12-11 04:24:00,884 DEBUG    [088011610051] recv((088011610051BR00131211A2834.7123N07715.3079E000.0042356180.9900000000L00A9C2F0))
2013-12-11 04:24:00,884 INFO     [088011610051] line[0]: ((088011610051BR00131211A2834.7123N07715.3079E000.0042356180.9900000000L00A9C2F0))
2013-12-11 04:24:05,587 DEBUG    [088011610051] recv((088011610051BR00131210A2836.0346N07714.1595E000.0142154154.8400000000L00A9AB3E))
2013-12-11 04:24:05,587 INFO     [088011610051] line[0]: ((088011610051BR00131210A2836.0346N07714.1595E000.0142154154.8400000000L00A9AB3E))
2013-12-11 04:24:09,805 DEBUG    [088011610051] recv((088011610051BR00131210A2836.0346N07714.1595E000.0142204154.8400000000L00A9AB3E))
2013-12-11 04:24:09,805 INFO     [088011610051] line[0]: ((088011610051BR00131210A2836.0346N07714.1595E000.0142204154.8400000000L00A9AB3E))
2013-12-11 04:24:14,327 DEBUG    [088011610051] recv((088011610051BR00131211A2834.7123N07715.3079E000.0042407180.9900000000L00A9C2F0))
2013-12-11 04:24:14,327 INFO     [088011610051] line[0]: ((088011610051BR00131211A2834.7123N07715.3079E000.0042407180.9900000000L00A9C2F0))
2013-12-11 04:27:28,811 INFO     RMDIR: tk103pid_16880
2013-12-11 04:27:28,812 INFO     Time delta: 0:00:22
2013-12-11 04:27:28,813 INFO     Server loop running in process:16903
2013-12-11 04:27:28,813 INFO     No packets in waiting queue
2013-12-11 04:27:33,813 INFO     No packets in waiting queue
2013-12-11 04:27:38,814 INFO     No packets in waiting queue
2013-12-11 04:27:43,815 INFO     No packets in waiting queue
2013-12-11 04:27:46,165 DEBUG    New request
2013-12-11 04:27:46,165 INFO     handle start, pid: 16903
2013-12-11 04:27:46,165 DEBUG    [PID: 16903] created tk103pid_16903
2013-12-11 04:27:46,664 DEBUG    [PID: 16903] recv((088011610051BP05000088011610051131211A2834.7123N07715.3079E000.0042738180.9900000000L00A9C2F0))
2013-12-11 04:27:46,665 INFO     [PID: 16903] line[0]: ((088011610051BP05000088011610051131211A2834.7123N07715.3079E000.0042738180.9900000000L00A9C2F0))
2013-12-11 04:27:46,665 INFO     [088011610051] Init: imei 088011610051
2013-12-11 04:27:46,665 INFO     [088011610051] Sending the login ACK to 088011610051
2013-12-11 04:27:46,666 DEBUG    [088011610051] send: (088011610051AP05)
2013-12-11 04:27:48,816 INFO     1 Packets in waiting queue
2013-12-11 04:27:50,903 DEBUG    [088011610051] recv((088011610051BR00131210A2836.0346N07714.1595E000.0142144154.8400000000L00A9AB3E))
2013-12-11 04:27:50,903 INFO     [088011610051] line[0]: ((088011610051BR00131210A2836.0346N07714.1595E000.0142144154.8400000000L00A9AB3E))
2013-12-11 04:27:55,585 DEBUG    [088011610051] recv((088011610051BR00131211A2834.7123N07715.3079E000.0042748180.9900000000L00A9C2F0))
2013-12-11 04:27:55,585 INFO     [088011610051] line[0]: ((088011610051BR00131211A2834.7123N07715.3079E000.0042748180.9900000000L00A9C2F0))
2013-12-11 04:27:59,944 DEBUG    [088011610051] recv((088011610051BR00131210A2836.0346N07714.1595E000.0142224154.8400000000L00A9AB3E))
2013-12-11 04:27:59,945 INFO     [088011610051] line[0]: ((088011610051BR00131210A2836.0346N07714.1595E000.0142224154.8400000000L00A9AB3E))
2013-12-11 04:28:04,544 DEBUG    [088011610051] recv((088011610051BR00131211A2834.7123N07715.3079E000.0042759180.9900000000L00A9C2F0))
2013-12-11 04:28:04,544 INFO     [088011610051] line[0]: ((088011610051BR00131211A2834.7123N07715.3079E000.0042759180.9900000000L00A9C2F0))
2013-12-11 04:28:08,784 DEBUG    [088011610051] recv((088011610051BR00131210A2836.0349N07714.1361E000.0142234284.1500000000L00A9AB3E))
2013-12-11 04:28:08,784 INFO     [088011610051] line[0]: ((088011610051BR00131210A2836.0349N07714.1361E000.0142234284.1500000000L00A9AB3E))
2013-12-11 04:28:12,964 DEBUG    [088011610051] recv((088011610051BR00131211A2834.7123N07715.3079E000.0042807180.9900000000L00A9C2F0))
2013-12-11 04:28:12,964 INFO     [088011610051] line[0]: ((088011610051BR00131211A2834.7123N07715.3079E000.0042807180.9900000000L00A9C2F0))
2013-12-11 04:28:17,766 DEBUG    [088011610051] recv((088011610051BR00131210A2836.0346N07714.1595E000.0142215154.8400000000L00A9AB3E))
2013-12-11 04:28:17,766 INFO     [088011610051] line[0]: ((088011610051BR00131210A2836.0346N07714.1595E000.0142215154.8400000000L00A9AB3E))
2013-12-11 04:28:21,944 DEBUG    [088011610051] recv((088011610051BR00131211A2834.7123N07715.3079E000.0042817180.9900000000L00A9C2F0))
